Timestamp,Sum of Losses,Number of Nodes,Average Data Quantity,Training Data Size
2024-12-17T01:42:53Z,197666.752585,393,1462.747475,289624
2024-12-17T01:46:25Z,197486.541241,395,1455.376884,289620
2024-12-17T01:49:54Z,197819.619967,397,1447.820000,289564
2024-12-17T01:53:25Z,197665.660745,399,1440.606965,289562
2024-12-17T01:56:56Z,197778.541402,401,1433.470297,289561
2024-12-17T02:00:26Z,197058.864667,403,1426.330049,289545
2024-12-17T02:03:54Z,196159.330219,405,1418.686275,289412
2024-12-17T02:07:22Z,197129.827934,407,1410.502439,289153
2024-12-17T02:10:53Z,197868.228133,409,1403.548544,289131
2024-12-17T02:14:22Z,197168.456685,411,1396.763285,289130
2024-12-17T02:17:54Z,196840.933562,413,1390.043269,289129
2024-12-17T02:21:24Z,197400.055239,415,1383.387560,289128
2024-12-17T02:24:54Z,197582.143663,417,1376.795238,289127
2024-12-17T02:27:43Z,197349.705805,419,1370.265403,289126
2024-12-17T03:19:49Z,197339.215950,421,1363.783019,289122
2024-12-17T03:21:46Z,190389.280316,423,1311.483568,279346
2024-12-17T03:23:43Z,189994.932789,425,1305.327103,279340
2024-12-17T03:30:50Z,184856.929161,427,1264.506977,271869
2024-12-17T03:32:51Z,185586.374121,429,1258.648148,271868
2024-12-17T03:34:42Z,185221.487034,431,1252.843318,271867
2024-12-17T21:28:07Z,185031.306971,433,1247.082569,271864
2024-12-17T21:30:24Z,185056.002199,435,1241.360731,271858
2024-12-17T21:32:35Z,185040.933886,437,1235.704545,271855
2024-12-17T21:45:46Z,184853.951278,439,1230.108597,271854
2024-12-17T21:47:52Z,184483.203309,441,1224.527027,271845
2024-12-17T21:49:44Z,184635.592214,443,1219.022422,271842
2024-12-17T21:51:57Z,185120.647759,445,1213.575893,271841
2024-12-17T21:55:10Z,185265.500400,447,1208.142222,271832
2024-12-17T21:58:25Z,185325.631691,449,1202.769912,271826
2024-12-17T22:01:37Z,185260.788922,451,1197.462555,271824
2024-12-17T22:04:47Z,185282.771320,453,1192.206140,271823
2024-12-17T22:07:22Z,185152.334726,455,1186.960699,271814
2024-12-17T22:29:38Z,185131.044338,457,1181.765217,271806
2024-12-17T22:32:51Z,185113.737519,459,1176.437229,271757
2024-12-17T22:36:03Z,184913.912130,461,1171.344828,271752
2024-12-17T22:39:02Z,184235.779548,463,1165.721030,271613
2024-12-17T22:41:53Z,184206.367628,465,1160.722222,271609
2024-12-17T22:45:04Z,184779.621163,467,1155.753191,271602
2024-12-17T22:48:15Z,184743.295938,469,1150.851695,271601
2024-12-17T22:51:28Z,184660.784090,471,1145.734177,271539
2024-12-17T22:54:41Z,184817.409466,473,1140.890756,271532
2024-12-17T22:57:53Z,184868.492771,475,1136.033473,271512
2024-12-17T23:01:05Z,184958.690926,477,1130.825000,271398
2024-12-17T23:04:18Z,184440.913689,479,1126.053942,271379
2024-12-17T23:06:57Z,180784.721840,481,1100.479339,266316
2024-12-17T23:08:58Z,181379.283279,483,1095.913580,266307
2024-12-17T23:10:59Z,181444.903322,485,1091.413934,266305
2024-12-17T23:29:07Z,181396.501892,487,1086.910204,266293
2024-12-17T23:31:49Z,181267.698594,489,1082.487805,266292
2024-12-17T23:44:04Z,181167.022784,491,1078.101215,266291
2024-12-17T23:46:47Z,181415.137644,493,1073.729839,266285
2024-12-17T23:49:37Z,181705.013670,495,1069.409639,266283
2024-12-17T23:52:38Z,181547.302590,497,1065.100000,266275
2024-12-17T23:55:45Z,180980.106682,499,1060.824701,266267
2024-12-17T23:58:51Z,181265.716563,501,1056.607143,266265
2024-12-18T00:01:56Z,181765.712302,503,1052.422925,266263
2024-12-18T00:05:03Z,181139.879868,505,1048.263780,266259
2024-12-18T00:08:09Z,180996.838190,507,1044.121569,266251
2024-12-18T01:20:29Z,181206.387690,509,1039.730469,266171
2024-12-18T01:22:41Z,180681.194571,511,1035.680934,266170
2024-12-18T01:24:58Z,180496.836516,513,1031.658915,266168
2024-12-18T01:32:53Z,180358.081853,515,1027.606178,266150
2024-12-18T01:35:07Z,180744.064737,517,1023.646154,266148
2024-12-18T01:36:59Z,181278.658746,519,1019.716475,266146
2024-12-18T01:38:47Z,180949.697437,521,1015.816794,266144
2024-12-18T01:40:35Z,181034.939342,523,1011.939163,266140
2024-12-18T01:47:56Z,181009.632393,525,1008.094697,266137
2024-12-18T01:50:45Z,180706.663167,527,1004.249057,266126
2024-12-18T01:53:52Z,180914.699225,529,1000.357143,266095
2024-12-18T01:56:58Z,181102.374998,531,996.602996,266093
2024-12-18T02:00:02Z,181118.120866,533,992.865672,266088
2024-12-18T02:03:08Z,181275.627788,535,989.171004,266087
2024-12-18T02:06:13Z,181267.393470,537,985.503704,266086
2024-12-18T02:09:19Z,181461.092089,539,981.859779,266084
2024-12-18T02:12:24Z,181401.118322,541,978.246324,266083
2024-12-18T02:15:30Z,181453.397621,543,974.648352,266079
2024-12-18T02:18:34Z,181297.023311,545,970.751825,265986
2024-12-18T02:21:40Z,181138.852479,547,967.130909,265961
2024-12-18T02:24:48Z,180750.004562,549,963.369565,265890
2024-12-18T02:27:53Z,180921.769218,551,959.888087,265889
2024-12-18T02:30:58Z,181000.692424,553,956.410072,265882
2024-12-18T02:34:03Z,180605.008543,555,952.978495,265881
2024-12-18T02:37:08Z,180723.549356,557,949.567857,265879
2024-12-18T02:40:15Z,180846.787662,559,946.170819,265874
2024-12-18T02:43:21Z,180852.090872,561,942.812057,265873
