Timestamp,Sum of Losses,Number of Nodes,Average Data Quantity,Training Data Size
2024-12-18T08:06:22Z,232473.359890,601,1059.158940,319866
2024-12-18T08:14:09Z,232272.187339,603,1055.660066,319865
2024-12-18T08:16:54Z,232720.325085,605,1052.157895,319856
2024-12-18T08:49:58Z,232239.106317,607,1048.681967,319848
2024-12-18T08:52:40Z,231204.898773,609,1045.209150,319834
2024-12-18T09:00:19Z,231689.069123,611,1041.788274,319829
2024-12-18T09:03:10Z,231890.643315,613,1037.113636,319431
2024-12-18T09:11:11Z,232414.189237,615,1033.741100,319426
2024-12-18T09:14:26Z,232620.347030,617,1030.387097,319420
2024-12-18T09:22:01Z,232564.608733,619,1027.070740,319419
2024-12-18T09:24:37Z,232728.373840,621,1023.727564,319403
2024-12-18T09:42:30Z,232806.665530,623,1020.453674,319402
2024-12-18T09:45:28Z,233253.841761,625,1017.200637,319401
2024-12-18T10:23:32Z,233237.716728,627,1013.965079,319399
2024-12-18T10:26:24Z,232858.376410,629,1009.813291,319101
2024-12-18T10:29:02Z,232350.890023,631,1006.621451,319099
2024-12-18T10:31:30Z,232283.676603,633,1003.443396,319095
2024-12-18T10:59:47Z,231883.579228,635,1000.291536,319093
2024-12-18T11:02:36Z,231795.574579,637,997.159375,319091
2024-12-18T19:41:33Z,232246.288003,639,994.049844,319090
2024-12-18T19:44:18Z,232310.870018,641,990.959627,319089
2024-12-18T19:47:08Z,232816.693764,643,987.873065,319083
2024-12-18T19:49:50Z,232469.974342,645,984.820988,319082
2024-12-18T20:07:16Z,232009.791545,647,981.538462,319000
2024-12-18T20:09:37Z,232615.982577,649,978.506135,318993
2024-12-18T20:12:17Z,232397.543394,651,975.495413,318987
2024-12-18T20:54:33Z,231647.708456,653,972.478659,318973
2024-12-18T20:57:09Z,232443.517001,655,969.519757,318972
2024-12-18T21:00:01Z,232856.185087,657,966.521212,318952
2024-12-18T21:12:35Z,232056.117918,659,963.598187,318951
2024-12-18T21:14:57Z,232299.474756,661,960.692771,318950
2024-12-18T21:17:18Z,232037.322502,663,957.804805,318949
2024-12-18T21:30:18Z,231407.211747,665,954.610778,318840
2024-12-18T21:32:56Z,231493.968911,667,951.755224,318838
2024-12-18T21:35:40Z,231256.291694,669,948.488095,318692
2024-12-18T21:38:42Z,231069.684452,671,945.670623,318691
2024-12-18T22:07:10Z,231326.633122,673,942.869822,318690
2024-12-18T22:10:20Z,231868.634776,675,940.082596,318688
2024-12-18T22:48:08Z,231593.605745,677,937.264706,318670
2024-12-18T22:50:56Z,230820.394750,679,934.489736,318661
2024-12-18T22:58:48Z,231220.579703,681,931.742690,318656
2024-12-18T23:01:34Z,232010.468636,683,928.979592,318640
2024-12-18T23:04:07Z,230868.955315,685,925.648256,318423
2024-12-18T23:06:50Z,230919.325487,687,922.942029,318415
2024-12-18T23:10:04Z,231915.244022,689,920.268786,318413
2024-12-18T23:13:43Z,231425.958549,691,917.613833,318412
2024-12-18T23:17:15Z,231210.572514,693,914.959770,318406
2024-12-18T23:20:33Z,231999.346211,695,912.295129,318391
2024-12-18T23:48:14Z,232162.362563,697,909.634286,318372
2024-12-18T23:50:44Z,231497.473169,699,907.014245,318362
2024-12-18T23:53:42Z,231165.056349,701,904.431818,318360
2024-12-18T23:57:23Z,231502.381540,703,901.866856,318359
2024-12-19T00:15:05Z,231697.587384,705,899.282486,318346
2024-12-19T00:17:54Z,231182.506686,707,896.664789,318316
2024-12-19T00:21:22Z,230368.625560,709,893.511236,318090
2024-12-19T00:25:06Z,230459.608937,711,890.988796,318083
2024-12-19T00:28:16Z,231236.076560,713,888.497207,318082
2024-12-19T00:31:27Z,230325.097048,715,886.013928,318079
2024-12-19T00:35:12Z,229655.508436,717,883.544444,318076
2024-12-19T00:38:54Z,230387.309804,719,881.080332,318070
2024-12-19T00:42:42Z,230734.093402,721,878.640884,318068
2024-12-19T00:46:16Z,231447.817210,723,876.206612,318063
2024-12-19T00:54:57Z,231340.557532,725,873.730769,318038
2024-12-19T00:58:24Z,230443.487585,727,871.334247,318037
2024-12-19T01:26:17Z,230303.737866,729,868.937158,318031
2024-12-19T01:29:30Z,231277.923634,731,866.558583,318027
2024-12-19T01:32:38Z,231453.484206,733,864.179348,318018
2024-12-19T01:35:32Z,231575.326581,735,861.829268,318015
2024-12-19T01:38:18Z,232025.631767,737,859.486486,318010
2024-12-19T01:40:53Z,231587.046181,739,857.126685,317994
2024-12-19T01:43:46Z,231534.207391,741,854.819892,317993
2024-12-19T01:46:55Z,232002.825995,743,852.522788,317991
2024-12-19T01:54:47Z,231237.122300,745,850.149733,317956
2024-12-19T01:57:55Z,230745.598808,747,847.701333,317888
2024-12-19T02:01:12Z,230955.625308,749,845.417553,317877
2024-12-19T02:04:50Z,230985.871597,751,843.169761,317875
2024-12-19T02:08:33Z,231577.950879,753,840.925926,317870
2024-12-19T02:12:14Z,231566.223119,755,838.696570,317866
2024-12-19T02:25:56Z,230806.402291,757,836.484211,317864
2024-12-19T02:29:37Z,230628.055522,759,834.283465,317862
2024-12-19T02:33:18Z,231011.022924,761,832.081152,317855
2024-12-19T02:36:59Z,230546.183721,763,829.906005,317854
2024-12-19T02:40:45Z,230362.718334,765,827.697917,317836
2024-12-19T02:44:25Z,229977.082105,767,825.532468,317830
2024-12-19T02:48:06Z,229451.295386,769,823.383420,317826
2024-12-19T02:51:46Z,228450.481923,771,819.503876,317148
2024-12-19T02:55:33Z,229107.364154,773,817.378866,317143
2024-12-19T02:59:14Z,230093.470301,775,815.241645,317129
2024-12-19T03:02:53Z,230374.709742,777,813.110256,317113
2024-12-19T03:06:33Z,231066.655406,779,810.989770,317097
2024-12-19T03:10:14Z,231130.675533,781,808.903061,317090
2024-12-19T03:13:48Z,230192.251356,783,806.842239,317089
2024-12-19T03:17:03Z,230223.796938,785,804.786802,317086
2024-12-19T03:20:16Z,229557.614593,787,802.734177,317080
2024-12-19T03:23:52Z,229211.822369,789,800.237374,316894
2024-12-19T03:27:32Z,229740.351396,791,798.186398,316880
2024-12-19T03:36:15Z,229165.967672,793,796.165829,316874
2024-12-19T03:39:57Z,229472.912203,795,794.167920,316873
2024-12-19T03:43:39Z,230048.197984,797,792.150000,316860
2024-12-19T03:47:21Z,230195.814830,799,790.162095,316855
2024-12-19T03:51:03Z,229775.600183,801,788.191542,316853
2024-12-19T03:54:47Z,229231.469103,803,784.689826,316230
2024-12-19T03:58:28Z,229315.013881,805,782.702970,316212
2024-12-19T04:02:10Z,229849.878408,807,780.716049,316190
2024-12-19T04:05:55Z,230692.534758,809,778.790640,316189
2024-12-19T04:09:37Z,230502.885504,811,776.872236,316187
2024-12-19T04:13:17Z,229847.452343,813,774.286765,315909
2024-12-19T04:16:58Z,229577.311560,815,772.381418,315904
2024-12-19T04:20:39Z,229487.236362,817,770.495122,315903
2024-12-19T04:24:18Z,229376.875468,819,768.618005,315902
2024-12-19T04:27:55Z,229055.317672,821,766.747573,315900
2024-12-19T04:31:37Z,229654.671460,823,764.886199,315898
2024-12-19T04:35:16Z,229031.954858,825,762.949275,315861
2024-12-19T04:38:55Z,228999.088942,827,761.093976,315854
2024-12-19T04:42:25Z,230254.718399,829,759.247596,315847
2024-12-19T04:45:42Z,229714.678271,831,757.417266,315843
2024-12-19T04:49:21Z,229214.480080,833,755.600478,315841
2024-12-19T04:53:00Z,229679.773286,835,753.778043,315833
2024-12-19T04:56:41Z,229073.150372,837,751.973810,315829
2024-12-19T05:00:23Z,228476.777170,839,750.180523,315826
2024-12-19T05:04:02Z,228906.259050,841,748.393365,315822
2024-12-19T05:07:43Z,229326.929686,843,746.619385,315820
2024-12-19T05:11:04Z,229587.254805,845,744.856132,315819
2024-12-19T05:14:30Z,229415.023375,847,743.101176,315818
2024-12-19T05:18:12Z,228877.630466,849,741.335681,315809
2024-12-19T05:21:51Z,229014.092711,851,739.597190,315808
2024-12-19T05:25:32Z,229395.222728,853,737.866822,315807
2024-12-19T05:29:12Z,229518.996369,855,736.090909,315783
2024-12-19T05:32:54Z,229010.095638,857,734.376744,315782
2024-12-19T05:36:33Z,228735.230849,859,732.658933,315776
2024-12-19T05:40:18Z,229178.506580,861,730.958333,315774
2024-12-19T05:43:58Z,229134.323892,863,729.249423,315765
2024-12-19T05:47:38Z,229688.064881,865,727.566820,315764
2024-12-19T05:51:15Z,228962.289397,867,725.864368,315751
2024-12-19T06:04:25Z,227776.269483,869,724.194954,315749
2024-12-19T06:07:30Z,228507.332100,871,722.505721,315735
